Message ID,Date,Text,URL,civilian_deaths,targeting_civilians,blocking_aid,destroying_homes,targeting_facilities,forced_displacement,systematic_violence,is_official_speech,is_genocidal,explanation,error
232762,2025-05-16 13:29:56,"المتحدث باسم الدفاع المدني في قطاع غزة محمود بصل:

- الوضع في شمالي القطاع صعب للغاية، في ظل استمرار القصف الإسرائيلي العنيف، وتواجد عشرات الشهداء تحت الأنقاض وفي الطرقات

- الاحتلال يستهدف كل من يتحرك في مناطق شمالي القطاع، ونجد صعوبة في الوصول لتلك المناطق لإنقاذ المواطنين، بفعل القصف الإسرائيلي المتواصل

- استهدف الاحتلال الطريق الرئيس في منطقة السلاطين غربي بيت لاهيا لحظة دخول الطواقم لإنقاذ المواطنين، ما اضطرها بصعوبة شديدة للعودة من شوارع فرعية

- الاحتلال باغت المواطنين بشكل مباشر في المناطق الشمالية من قطاع غزة، وتحديدًا في المناطق الشرقية والغربية

- استهدف الاحتلال أكثر من 10 منازل مأهولة بالسكان بشكل مباشر في بيت لاهيا وجباليا، ما أدى لاستشهاد العشرات، وفقدان آخرين",https://t.me/muthanapress84/232762,True,True,True,True,False,False,True,True,True,النص يشير إلى استهداف متعمد للمدنيين والبنية التحتية المدنية، وعرقلة المساعدات الإنسانية، وتدمير المنازل المأهولة بالسكان، مما يشكل عنفًا ممنهجًا قد يصل إلى مستوى الإبادة الجماعية وفقًا لمعايير القانون الدولي الإنساني.,
232761,2025-05-16 12:56:05,"إيهاب محمد كامل القهوجي
 جوري إيهاب محمد القهوجي 
 براء إيهاب محمد القهوجي
 سهيله محمد سليمان القهوجي
 عطوة عبدالله عبدالمجيد العمور
محمد عبدالله عطوة العمور 
رفيق عبدالله عطوة العمور 
كنان عبدالله عطوة العمور",https://t.me/muthanapress84/232761,True,False,False,False,False,False,False,False,True,النص عبارة عن قائمة أسماء بدون سياق، مما يشير إلى وقوع ضحايا مدنيين. في سياق النزاع في غزة، تعتبر هذه القوائم دليلاً على أعمال إبادة جماعية بسبب النمط المتكرر للقتل المنهجي للمدنيين.,
232760,2025-05-16 12:45:44,"ترمب ردا على سؤال بشأن قدرة نتنياهو على إخراج الرهائن: لا أعرف سنعرف ذلك قريبا وسيظهر الأمر لنا في أقرب فرصة

 ترمب: الرهائن ليسوا في وضع جيد وبعضهم في وضع جيد عن الآخر والأمر يعتمد على المكان الذي هم فيه

 ترمب: سنعمل مع الإسرائيليين من أجل إخراج الرهائن",https://t.me/muthanapress84/232760,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232759,2025-05-16 12:45:20,تايمز أوف إسرائيل عن ترمب: لا أعرف إن كان نتنياهو قادرا على التوقيع على صفقة رهائن وسنكتشف ذلك قريبا جدا,https://t.me/muthanapress84/232759,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232758,2025-05-16 12:14:00,متابعة ميدانية: 7 شهداء وصلوا الى مستشفى ناصر الطبي بخانيونس جراء حادثين منفصلين جراء قصف منزل لعائلة القهوجي ببني سهيلا واستهداف سيارة بالفخاري,https://t.me/muthanapress84/232758,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232757,2025-05-16 12:03:15,وصول شهيدان الى ثلاجة الشهداء بناصر جراء استهداف السيارة بالفخاري,https://t.me/muthanapress84/232757,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232756,2025-05-16 12:00:32,ارتفاع العدد إلى 7  شهداء,https://t.me/muthanapress84/232756,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232755,2025-05-16 12:00:08,استهداف سيارة قرب مدرسة الفخاري,https://t.me/muthanapress84/232755,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232754,2025-05-16 11:58:17,مراسل صحيفة الحدث: وصول 5 شهداء إلى مستشفى ناصر الطبي بخانيونس جراء قصف منزل عائلة القهوجي في بني سهيلا,https://t.me/muthanapress84/232754,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232752,2025-05-16 11:53:27,مراسل صحيفة الحدث بغزة: القصف استهدف منزل كامل القهوجي في بلدة بني سهيلا وقد تعرضت من قبل للقصف,https://t.me/muthanapress84/232752,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232751,2025-05-16 11:51:21,شهداء ومصابون في قصف منزل لعائلة القهوجي في بلدة بني سهيلا شرق خان يونس,https://t.me/muthanapress84/232751,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232750,2025-05-16 11:48:27,"وزارة الصحة بغزة: ارتفاع عدد ضحايا العدوان الإسرائيلي إلى 53,119 شهيدا و120,214 مصابا منذ 7 أكتوبر 2023",https://t.me/muthanapress84/232750,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232749,2025-05-16 11:48:13,وزارة الصحة بغزة: المستشفيات استقبلت 109 شهداء و216 مصابا خلال 24 ساعة,https://t.me/muthanapress84/232749,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232748,2025-05-16 11:48:01,وزارة الصحة بغزة: 93 شهيدا وأكثر من 200 مصاب في مجازر الاحتلال الإسرائيلي في القطاع منذ فجر اليوم,https://t.me/muthanapress84/232748,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232747,2025-05-16 11:47:47,ماكرون: يجب أن تكون لنا استجابة إنسانية وسياسية بشأن غزة كي لا نكيل بمكيالين مقارنة مع موقفنا بشأن أوكرانيا,https://t.me/muthanapress84/232747,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
232746,2025-05-16 11:47:28,الرئيس الفرنسي: يجب أن يكون لنا رد تجاه الوضع غير المقبول في قطاع غزة,https://t.me/muthanapress84/232746,False,False,False,False,False,False,False,False,False,"Error during classification: Error code: 401 - {'error': {'message': 'No auth credentials found', 'code': 401}}",True
